country,iso3,year,ladder_score
Finland,FIN,2024,7.736
Denmark,DNK,2024,7.521
Iceland,ISL,2024,7.515
Sweden,SWE,2024,7.345
Netherlands,NLD,2024,7.306
Norway,NOR,2024,7.262
Luxembourg,LUX,2024,7.122
Switzerland,CHE,2024,6.935
Belgium,BEL,2024,6.91
Ireland,IRL,2024,6.889
Lithuania,LTU,2024,6.829
Austria,AUT,2024,6.81
Slovenia,SVN,2024,6.792
Czechia,CZE,2024,6.775
Germany,DEU,2024,6.753
United Kingdom,GBR,2024,6.728
Poland,POL,2024,6.673
France,FRA,2024,6.593
Romania,ROU,2024,6.563
Spain,ESP,2024,6.466
Estonia,EST,2024,6.417
Italy,ITA,2024,6.415
Malta,MLT,2024,6.316
Slovakia,SVK,2024,6.221
Latvia,LVA,2024,6.207
Portugal,PRT,2024,6.013
Cyprus,CYP,2024,5.942
Hungary,HUN,2024,5.915
Croatia,HRV,2024,5.87
Greece,GRC,2024,5.776
Bulgaria,BGR,2024,5.554
